[1223/172022:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/172700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1223/172910:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/110941:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/113844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/121951:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/122107:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/135147:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/140141:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/141838:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0103/145135:ERROR:file_io.cc(30)] read: expected 4, observed 0
